dataid,Previous meter,Current meter,Difference,Previous Date,Previous Hour,Previous Minute,Previous Second,Current Date,Current Hour,Current Minute,Current Second
4514.0,416196.0,389408.0,26788.0,2015-12-11,22.0,16.0,2.0,2015-12-11,22.0,21.0,15.0
4514.0,416198.0,389408.0,26790.0,2015-12-11,22.0,59.0,57.0,2015-12-11,23.0,10.0,12.0
4514.0,416198.0,389410.0,26788.0,2015-12-11,23.0,28.0,55.0,2015-12-11,23.0,34.0,8.0
4514.0,416200.0,389410.0,26790.0,2015-12-12,0.0,12.0,54.0,2015-12-12,0.0,24.0,5.0
4514.0,416200.0,389412.0,26788.0,2015-12-12,0.0,46.0,2.0,2015-12-12,0.0,55.0,58.0
4514.0,416202.0,389412.0,26790.0,2015-12-12,1.0,11.0,8.0,2015-12-12,1.0,19.0,56.0
4514.0,416202.0,389412.0,26790.0,2015-12-12,1.0,42.0,8.0,2015-12-12,1.0,49.0,4.0
4514.0,416202.0,389412.0,26790.0,2015-12-12,2.0,4.0,4.0,2015-12-12,2.0,10.0,7.0
4514.0,416206.0,389416.0,26790.0,2015-12-12,3.0,48.0,53.0,2015-12-12,4.0,29.0,58.0
4514.0,416208.0,389418.0,26790.0,2015-12-12,5.0,45.0,13.0,2015-12-12,5.0,56.0,5.0
4514.0,416210.0,389420.0,26790.0,2015-12-12,7.0,3.0,2.0,2015-12-12,7.0,10.0,20.0
4514.0,416212.0,389422.0,26790.0,2015-12-12,8.0,13.0,54.0,2015-12-12,8.0,31.0,1.0
4514.0,416214.0,389424.0,26790.0,2015-12-12,9.0,42.0,14.0,2015-12-12,9.0,57.0,59.0
4514.0,416216.0,389426.0,26790.0,2015-12-12,10.0,48.0,3.0,2015-12-12,10.0,54.0,12.0
4514.0,416216.0,389426.0,26790.0,2015-12-12,11.0,14.0,3.0,2015-12-12,11.0,14.0,15.0
4514.0,416218.0,389428.0,26790.0,2015-12-12,12.0,17.0,52.0,2015-12-12,12.0,21.0,10.0
4514.0,416218.0,389430.0,26788.0,2015-12-12,13.0,6.0,1.0,2015-12-12,13.0,10.0,3.0
4514.0,416222.0,389432.0,26790.0,2015-12-12,15.0,11.0,7.0,2015-12-12,15.0,34.0,20.0
4514.0,416224.0,389436.0,26788.0,2015-12-12,16.0,30.0,51.0,2015-12-12,16.0,40.0,12.0
4514.0,416224.0,389442.0,26782.0,2015-12-12,17.0,20.0,3.0,2015-12-12,17.0,59.0,57.0
4514.0,416226.0,389444.0,26782.0,2015-12-12,18.0,0.0,10.0,2015-12-12,18.0,13.0,55.0
4514.0,416226.0,389444.0,26782.0,2015-12-12,18.0,48.0,9.0,2015-12-12,19.0,4.0,10.0
4514.0,416228.0,389446.0,26782.0,2015-12-12,20.0,11.0,0.0,2015-12-12,20.0,24.0,9.0
4514.0,416230.0,389448.0,26782.0,2015-12-12,20.0,57.0,55.0,2015-12-12,21.0,0.0,6.0
4514.0,416232.0,389448.0,26784.0,2015-12-12,21.0,59.0,5.0,2015-12-12,22.0,3.0,55.0
4514.0,416232.0,389450.0,26782.0,2015-12-12,22.0,53.0,5.0,2015-12-12,23.0,0.0,4.0
4514.0,416234.0,389452.0,26782.0,2015-12-13,0.0,4.0,55.0,2015-12-13,0.0,8.0,11.0
4514.0,416236.0,389454.0,26782.0,2015-12-13,0.0,20.0,0.0,2015-12-13,0.0,24.0,10.0
4514.0,416236.0,389466.0,26770.0,2015-12-13,1.0,17.0,53.0,2015-12-13,1.0,19.0,59.0
4514.0,410418.0,410410.0,8.0,2016-3-30,21.0,56.0,41.0,2016-3-30,22.0,0.0,32.0
4998.0,163604.0,163590.0,14.0,2015-10-20,7.0,30.0,18.0,2015-10-20,7.0,38.0,11.0
5129.0,153964.0,153960.0,4.0,2015-10-17,18.0,36.0,59.0,2015-10-17,18.0,39.0,9.0
5129.0,153966.0,153964.0,2.0,2015-10-17,22.0,39.0,55.0,2015-10-17,22.0,40.0,20.0
5129.0,154032.0,154030.0,2.0,2015-10-20,12.0,32.0,32.0,2015-10-20,13.0,2.0,24.0
5129.0,168484.0,156770.0,11714.0,2015-12-7,16.0,34.0,10.0,2015-12-7,17.0,10.0,13.0
5129.0,168484.0,156772.0,11712.0,2015-12-7,18.0,31.0,11.0,2015-12-7,18.0,39.0,35.0
5129.0,168486.0,156772.0,11714.0,2015-12-7,19.0,24.0,3.0,2015-12-7,19.0,26.0,21.0
5129.0,168486.0,156786.0,11700.0,2015-12-7,20.0,25.0,8.0,2015-12-7,21.0,13.0,13.0
5129.0,168486.0,156802.0,11684.0,2015-12-8,0.0,8.0,55.0,2015-12-8,1.0,12.0,10.0
5129.0,168488.0,156822.0,11666.0,2015-12-8,2.0,29.0,9.0,2015-12-8,2.0,46.0,32.0
5129.0,168488.0,156822.0,11666.0,2015-12-8,3.0,10.0,0.0,2015-12-8,3.0,16.0,25.0
5129.0,168490.0,156870.0,11620.0,2015-12-8,6.0,39.0,12.0,2015-12-8,8.0,12.0,27.0
5129.0,168490.0,156870.0,11620.0,2015-12-8,8.0,21.0,0.0,2015-12-8,8.0,46.0,15.0
5129.0,168490.0,156890.0,11600.0,2015-12-8,10.0,18.0,14.0,2015-12-8,10.0,41.0,23.0
5129.0,168490.0,156890.0,11600.0,2015-12-8,10.0,43.0,11.0,2015-12-8,11.0,14.0,31.0
5129.0,168492.0,156892.0,11600.0,2015-12-8,12.0,22.0,0.0,2015-12-8,12.0,50.0,14.0
5129.0,168492.0,156892.0,11600.0,2015-12-8,12.0,58.0,3.0,2015-12-8,13.0,10.0,20.0
5129.0,168492.0,156912.0,11580.0,2015-12-8,14.0,15.0,21.0,2015-12-8,15.0,32.0,30.0
5129.0,168494.0,156912.0,11582.0,2015-12-8,17.0,46.0,11.0,2015-12-8,18.0,44.0,19.0
5129.0,168494.0,156912.0,11582.0,2015-12-8,20.0,43.0,0.0,2015-12-8,21.0,8.0,19.0
5129.0,168496.0,156914.0,11582.0,2015-12-9,0.0,35.0,6.0,2015-12-9,0.0,49.0,23.0
5129.0,168496.0,156914.0,11582.0,2015-12-9,1.0,8.0,2.0,2015-12-9,1.0,36.0,13.0
5129.0,168496.0,156914.0,11582.0,2015-12-9,1.0,58.0,9.0,2015-12-9,2.0,36.0,15.0
5129.0,168498.0,156916.0,11582.0,2015-12-9,5.0,51.0,7.0,2015-12-9,6.0,20.0,14.0
5129.0,168498.0,156916.0,11582.0,2015-12-9,7.0,22.0,14.0,2015-12-9,7.0,27.0,21.0
5129.0,168498.0,156926.0,11572.0,2015-12-9,8.0,29.0,3.0,2015-12-9,8.0,59.0,22.0
5129.0,168500.0,156928.0,11572.0,2015-12-9,9.0,17.0,1.0,2015-12-9,9.0,58.0,15.0
5129.0,168502.0,156928.0,11574.0,2015-12-9,10.0,49.0,15.0,2015-12-9,11.0,8.0,10.0
5129.0,168502.0,156928.0,11574.0,2015-12-9,11.0,33.0,13.0,2015-12-9,12.0,0.0,26.0
5129.0,168502.0,156928.0,11574.0,2015-12-9,13.0,22.0,1.0,2015-12-9,13.0,36.0,27.0
5129.0,168502.0,156928.0,11574.0,2015-12-9,13.0,40.0,58.0,2015-12-9,14.0,36.0,24.0
5129.0,168504.0,156930.0,11574.0,2015-12-9,17.0,0.0,2.0,2015-12-9,17.0,34.0,26.0
5129.0,168506.0,156940.0,11566.0,2015-12-9,20.0,5.0,15.0,2015-12-9,20.0,44.0,32.0
5129.0,168506.0,156950.0,11556.0,2015-12-10,0.0,52.0,15.0,2015-12-10,0.0,58.0,32.0
